AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
District of Columbia Public Schools,2024/05/29 04:00:00+00,182.9,SWEETWATER SOUND,IN,MUSIC STORES-INSTRUMENTS  PIANOS  SHEET MUSIC,2024/06/11 15:15:49+00,546184
District of Columbia Public Schools,2024/05/29 04:00:00+00,323.1,PAYPAL,CA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546187
District of Columbia Public Schools,2024/05/29 04:00:00+00,1251.14,RIVERSIDE INSIGHTS,IL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546188
DC Public Library,2024/05/29 04:00:00+00,84,DC *GOV'T PAYMENT,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546189
DC Public Library,2024/05/29 04:00:00+00,84,DC *GOV'T PAYMENT,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546190
DC Public Library,2024/05/29 04:00:00+00,84,DC *GOV'T PAYMENT,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546191
DC Public Library,2024/05/29 04:00:00+00,1898.46,VSP*PERSONNEL CONCEPTS,FL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546193
District of Columbia Public Schools,2024/05/29 04:00:00+00,25.42,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546334
District of Columbia Public Schools,2024/05/29 04:00:00+00,139.17,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546335
DC Public Library,2024/05/29 04:00:00+00,559.84,COMPLIANCESIGNS.COM,FL,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546341
Office of the Chief Medical Examiner,2024/05/29 04:00:00+00,504,MEDICAL SUPPLY SYSTEMS,DC,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,546343
District of Columbia Public Schools,2024/05/29 04:00:00+00,511.2,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546347
Department of Health,2024/05/29 04:00:00+00,1,WYNDHAM,PA,WYNDHAM,2024/06/11 15:15:49+00,546348
Office of the Mayor,2024/05/29 04:00:00+00,150.75,SQ *THREE FIFTY,DC,EATING PLACES  RESTAURANTS,2024/06/11 15:15:49+00,546349
District of Columbia Public Schools,2024/05/29 04:00:00+00,3949.44,BOOKSHOP.ORG,NY,Media- Books+Movies+Music,2024/06/11 15:15:49+00,546350
District of Columbia Public Schools,2024/05/29 04:00:00+00,77.85,"WARNER PRESS, INC",IN,ORGANIZATIONS  RELIGIOUS,2024/06/11 15:15:49+00,546357
District of Columbia Public Schools,2024/05/29 04:00:00+00,4604,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546490
District of Columbia Public Schools,2024/05/29 04:00:00+00,850,MAD SCIENCE OF WASHING,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546491
District of Columbia Public Schools,2024/05/29 04:00:00+00,850,MAD SCIENCE OF WASHING,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546492
District of Columbia Public Schools,2024/05/29 04:00:00+00,625,WAVE - *ERIC ENERGY,MD,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,546493
District of Columbia Public Schools,2024/05/29 04:00:00+00,1300,IN *11-11 WELLNESS,CA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,546494
District of Columbia Public Schools,2024/05/29 04:00:00+00,85.45,FACEBK* 6FURZ5CXP2,CA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,546495
District of Columbia Public Schools,2024/05/29 04:00:00+00,78.72,SP EZPRINTHOUZ,MD,COMMERCIAL ART  GRAPHICS  PHOTOGRAPHY,2024/06/11 15:15:49+00,546499
Department of Motor Vehicles,2024/05/29 04:00:00+00,14.63,INTERNATIONAL TRANSACTION,,Unknown,2024/06/11 15:15:49+00,546500
Department of Motor Vehicles,2024/05/29 04:00:00+00,975.64,HILTON QUEBEC,QC,HILTON,2024/06/11 15:15:49+00,546503
District Department of the Environment,2024/05/29 04:00:00+00,35.58,WWW.RESERVATIONS.COM,FL,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,546504
DC Public Library,2024/05/29 04:00:00+00,592.99,NFPA NATL FIRE PROTECT,MA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546626
District of Columbia Public Schools,2024/05/29 04:00:00+00,27.51,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546632
District of Columbia Public Schools,2024/05/29 04:00:00+00,25.42,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546633
Office of the Chief Technology Officer,2024/05/29 04:00:00+00,4228.67,SENODA INC,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546650
District of Columbia Public Schools,2024/05/29 04:00:00+00,229.66,LINKEDIN ADS 960102008,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546777
District Department of the Environment,2024/05/29 04:00:00+00,393.17,HOTEL*RESERVATIONS.COM,UN,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,546779
District of Columbia Public Schools,2024/05/29 04:00:00+00,308.1,ALASKA A  02,WA,ALASKA AIRLINES INC.,2024/06/11 15:15:49+00,546804
District of Columbia Public Schools,2024/05/29 04:00:00+00,319.98,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546958
Department of Health,2024/05/29 04:00:00+00,1224,APIC,VA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547102
Department of Health,2024/05/29 04:00:00+00,1224,APIC,VA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547103
Department of Health,2024/05/29 04:00:00+00,677.95,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,547104
Department of Health,2024/05/29 04:00:00+00,677.95,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,547105
District of Columbia Public Schools,2024/05/29 04:00:00+00,-139.23,OXBORROW TRUCKING,NV,LAWN AND GARDEN SUPPLY STORES,2024/06/11 15:15:49+00,547112
Fire & Emergency Medical Services,2024/05/29 04:00:00+00,2930.2,THE HOME DEPOT #2554,MD,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,547119
District of Columbia Public Schools,2024/05/29 04:00:00+00,595,UT HIGH SCHOOL,TX,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,547275
District Department of the Environment,2024/05/28 04:00:00+00,1695,WP**PRINCETON GROUNDWA,FL,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,544870
District Department of the Environment,2024/05/28 04:00:00+00,1695,WP**PRINCETON GROUNDWA,FL,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,544871
District of Columbia Public Schools,2024/05/28 04:00:00+00,-39.4,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544874
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544875
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544876
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544877
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544878
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544879
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544880
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544881
District of Columbia Public Schools,2024/05/28 04:00:00+00,590,SQ *NATIONAL ASSOCIATI,CA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544882
District of Columbia Public Schools,2024/05/28 04:00:00+00,406,DOTTIES TROPHIES & AWA,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,544883
District of Columbia Public Schools,2024/05/28 04:00:00+00,12.04,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544887
District Department of the Environment,2024/05/28 04:00:00+00,3609.23,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545021
DC National Guard,2024/05/28 04:00:00+00,562.85,SHERWIN WILLIAMS 70330,MD,GLASS  PAINT  WALLPAPER STORES,2024/06/11 15:15:49+00,545025
Department of Housing & Community Development,2024/05/28 04:00:00+00,2003.4,SP DOT CARDS,GA,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,545027
Fire & Emergency Medical Services,2024/05/28 04:00:00+00,237.69,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545030
Fire & Emergency Medical Services,2024/05/28 04:00:00+00,23.88,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545031
District of Columbia Public Schools,2024/05/28 04:00:00+00,65.68,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545032
District of Columbia Public Schools,2024/05/28 04:00:00+00,66.31,AMAZON MAR* 111-192226,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545033
District of Columbia Public Schools,2024/05/28 04:00:00+00,159,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545034
District of Columbia Public Schools,2024/05/28 04:00:00+00,248.04,STAPLES INC,MA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545035
District of Columbia Public Schools,2024/05/28 04:00:00+00,19.22,STAPLES       00105841,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,545038
District of Columbia Public Schools,2024/05/28 04:00:00+00,4674.8,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545043
District of Columbia Public Schools,2024/05/28 04:00:00+00,139.45,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545044
District of Columbia Public Schools,2024/05/28 04:00:00+00,32.3,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545173
District of Columbia Public Schools,2024/05/28 04:00:00+00,50,CANVA* I04165-45421547,DE,PHOTOGRAPHIC STUDIOS,2024/06/11 15:15:49+00,545174
District of Columbia Public Schools,2024/05/28 04:00:00+00,341.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545175
District of Columbia Public Schools,2024/05/28 04:00:00+00,222.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545176
District of Columbia Public Schools,2024/05/28 04:00:00+00,306.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545177
District of Columbia Public Schools,2024/05/28 04:00:00+00,306.95,AMERICAN AIRLINES,TX,AMERICAN AIRLINES,2024/06/11 15:15:49+00,545178
District of Columbia Public Schools,2024/05/28 04:00:00+00,59.98,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545179
District of Columbia Public Schools,2024/05/28 04:00:00+00,100.53,AMAZON.COM*E003I1293,WA,BOOK STORES,2024/06/11 15:15:49+00,545180
"Department of Insurance, Securities & Banking",2024/05/28 04:00:00+00,1485,"NEAL R. GROSS & CO., I",DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545181
"Department of Insurance, Securities & Banking",2024/05/28 04:00:00+00,3245,LEXISNEXIS PAYMENT CTR,OH,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545182
District of Columbia Public Schools,2024/05/28 04:00:00+00,4018.1,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545183
District of Columbia Public Schools,2024/05/28 04:00:00+00,1432.2,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,545184
District of Columbia Public Schools,2024/05/28 04:00:00+00,259,NAESP,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545187
District of Columbia Public Schools,2024/05/28 04:00:00+00,404.33,VISTAFLAGS.COM,TX,MISCELLANEOUS GENERAL MERCHANDISE,2024/06/11 15:15:49+00,545188
District Department of the Environment,2024/05/28 04:00:00+00,52.99,ADOBE INC.,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545190
District of Columbia Public Schools,2024/05/28 04:00:00+00,2273.45,GREAT WOLF LODGE PERRY,MD,GREAT WOLF,2024/06/11 15:15:49+00,545192
District of Columbia Public Schools,2024/05/28 04:00:00+00,1968.4,MINUTEMAN PRESS -WASHI,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545193
Office of the Chief Technology Officer,2024/05/28 04:00:00+00,4816.16,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545215
DC National Guard,2024/05/28 04:00:00+00,279.51,THE HOME DEPOT #2555,MD,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,545218
Department of Health,2024/05/28 04:00:00+00,550,ARBO,NC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545354
District of Columbia Public Schools,2024/05/28 04:00:00+00,752.89,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545356
District of Columbia Public Schools,2024/05/28 04:00:00+00,4997.26,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545357
District of Columbia Public Schools,2024/05/28 04:00:00+00,1264.16,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545358
Office of the Attorney General,2024/05/28 04:00:00+00,-1000,ONETAPCHECKIN.COM,TX,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545362
Department of Education,2024/05/28 04:00:00+00,306.3,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545509
District of Columbia Public Schools,2024/05/28 04:00:00+00,541.5,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545524
District of Columbia Public Schools,2024/05/28 04:00:00+00,336.44,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545525
District of Columbia Public Schools,2024/05/28 04:00:00+00,352.14,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545526
District of Columbia Public Schools,2024/05/28 04:00:00+00,548.65,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545527
District of Columbia Public Schools,2024/05/28 04:00:00+00,876,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545531
District of Columbia Public Schools,2024/05/28 04:00:00+00,2500,FERADYNE OUTDOORS LLC,WI,SPORTING GOODS STORES,2024/06/11 15:15:49+00,545684
District of Columbia Public Schools,2024/05/28 04:00:00+00,200.6,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545689
District of Columbia Public Schools,2024/05/28 04:00:00+00,750,PAYPAL,CA,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545702
Office of Contracting & Procurement,2024/05/28 04:00:00+00,644.29,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545867
District of Columbia Public Schools,2024/05/28 04:00:00+00,799.99,PAYPAL,NY,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545877
District of Columbia Public Schools,2024/05/28 04:00:00+00,902,ACCUTRAIN CORPORATION,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546046
District of Columbia Public Schools,2024/05/28 04:00:00+00,1068.87,MOON BOUNCE GALAXY LLC,MD,EQUIPMENT RENTAL+LEASING SVS  FURNTURE-TOOL RENTAL,2024/06/11 15:15:49+00,546047
District Department of Transportation,2024/05/28 04:00:00+00,90.41,THOMAS SCIENTIFIC HOLD,NJ,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546181
District of Columbia Public Schools,2024/05/28 04:00:00+00,5000,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546183
District of Columbia Public Schools,2024/05/28 04:00:00+00,801.16,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,546185
DC Public Library,2024/05/28 04:00:00+00,1499,AIA CONV REGISTRTION,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546192
District of Columbia Public Schools,2024/05/28 04:00:00+00,-54.7,DISCOUNTMUGS.COM,FL,MISCELLANEOUS GENERAL MERCHANDISE,2024/06/11 15:15:49+00,546333
District of Columbia Public Schools,2024/05/28 04:00:00+00,1575,NWEA,MA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546354
District of Columbia Public Schools,2024/05/28 04:00:00+00,900,PAYPAL,PA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546355
District of Columbia Public Schools,2024/05/28 04:00:00+00,900,PAYPAL,PA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546356
District of Columbia Public Schools,2024/05/28 04:00:00+00,108.8,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546469
District of Columbia Public Schools,2024/05/28 04:00:00+00,450,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546470
District of Columbia Public Schools,2024/05/28 04:00:00+00,445,NCTM REG 3,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546471
Fire & Emergency Medical Services,2024/05/28 04:00:00+00,1358.35,IN *FITNESS MACHINE TE,CA,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,2024/06/11 15:15:49+00,546472
Fire & Emergency Medical Services,2024/05/28 04:00:00+00,891,IN *GREENPIPE BIOTECH,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546473
Fire & Emergency Medical Services,2024/05/28 04:00:00+00,-249.5,LANDAIRSEA,IL,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546475
District of Columbia Public Schools,2024/05/28 04:00:00+00,675,NOVI APSI* NOVI APSI 2,MI,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546476
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546477
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546478
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546479
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546480
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546481
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546482
District of Columbia Public Schools,2024/05/28 04:00:00+00,175,COLLEGEBOARD WORKSHOPS,NY,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546483
District of Columbia Public Schools,2024/05/28 04:00:00+00,1164.75,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546485
Office of the Chief Financial Officer,2024/05/28 04:00:00+00,555.94,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,546496
District of Columbia Public Schools,2024/05/28 04:00:00+00,3990.12,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546616
Office of the Attorney General,2024/05/28 04:00:00+00,62.98,WHOLEFDS HST#10565,DC,GROCERY STORES  SUPERMARKETS,2024/06/11 15:15:49+00,546619
District of Columbia Public Schools,2024/05/28 04:00:00+00,4168.4,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546620
District of Columbia Public Schools,2024/05/28 04:00:00+00,1673,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546621
District of Columbia Public Schools,2024/05/28 04:00:00+00,3038.3,MVS INC,DC,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546623
DC Public Library,2024/05/28 04:00:00+00,608.59,MARRIOTT NEW ORLEANS,LA,MARRIOTT,2024/06/11 15:15:49+00,546624
DC Public Library,2024/05/28 04:00:00+00,84,DC *GOV'T PAYMENT,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546625
District of Columbia Public Schools,2024/05/28 04:00:00+00,1280,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546631
"Department of Insurance, Securities & Banking",2024/05/28 04:00:00+00,157.94,SKILLPATH / NATIONAL,KS,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546637
DC Public Library,2024/05/28 04:00:00+00,116.5,JACKNOB CORP,NY,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546638
DC Public Library,2024/05/28 04:00:00+00,831.14,SQ *OVERHEAD DOOR COMP,MD,CONTRACTORS SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546639
DC Public Library,2024/05/28 04:00:00+00,-138.24,DROPBOX*W8MZ8X4FSHZK,CA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,546772
District of Columbia Public Schools,2024/05/28 04:00:00+00,499.11,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546773
District of Columbia Public Schools,2024/05/28 04:00:00+00,214.95,LINKEDIN ADS 959745906,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546776
Department of Health,2024/05/28 04:00:00+00,72.08,EIG,MA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546778
District of Columbia Public Schools,2024/05/28 04:00:00+00,503.7,ODP BUS SOL LLC # 1059,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,546955
District of Columbia Public Schools,2024/05/28 04:00:00+00,308.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,546959
